afg_dist,wheat_local_price_median,wheat_imported_price_median,local_rice_price_median,veg_oil_price_median,pulses_lentils_price_median,pulses_beans_price_median,pulses_split_peas_price_median,salt_price_median,sugar_price_median,tomatoes_price_median,potatoes_price_median,onions_price_median,eggs_price_median,cotton_cloth_price_median,toothbrush_adult_price_median,toothbrush_child_price_median,toothpaste_price_median,sanitary_pad_price_median,washing_detergent_price_median,soap_price_median,bleach_price_median,safe_water_price_median,jerrycan_price_median,firewood_price_median,kindling_price_median,fuel_gel_price_median,cooking_fuel_price_median
abkamari,N/A,N/A,52,110,N/A,N/A,N/A,25,50,70,32.5,85,10,N/A,N/A,N/A,N/A,N/A,25,30,N/A,N/A,N/A,N/A,N/A,N/A,60
adraskan,31.25,36.125,75,121,55,120,45,8,50,50,25,30,8,N/A,20,N/A,30,30,40,15,45,N/A,6,N/A,N/A,N/A,35
ahmadaba,N/A,47.5,50,90,80,82.5,80,30,45,47.5,50,50,10,N/A,25,N/A,42.5,150,70,40,50,N/A,N/A,11.4285714285714,11.4285714285714,N/A,40
aybak,37,N/A,45.714285714285701,105,N/A,130,40,40,50,N/A,42.857142857142897,42.142857142857203,12,N/A,30,20,50,N/A,60,40,70,N/A,N/A,N/A,N/A,N/A,N/A
baghlan_e_jadid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bagram,34,38,68,99,68,135.5,85,25,49.5,N/A,N/A,N/A,8,N/A,23.75,12.5,25,N/A,60,30,60,8,N/A,N/A,N/A,N/A,N/A
bamyan,30,31.428571428571399,47.142857142857103,90,64.285714285714306,101.428571428571,48.571428571428598,11.4285714285714,50,80,30,40,10,100,39,28.5,55,2.5,41,22.5,70,10,16.5,11.4285714285714,11.4285714285714,50,46
barakibarak,37.5,38.5,50,97.5,50,93,38,32.5,43.5,30,31,18,7,80,15,10,20,70,18,26.5,55,13.3333333333333,7.5,11.714285714285699,11.785714285714199,70,35
batikot,36.4583333333333,37,45,83,90,130,85.357142857142804,50,45,53.928571428571402,30,23.571428571428601,N/A,N/A,30,N/A,30,N/A,30,25,50,20,N/A,N/A,N/A,N/A,36
bazarak,35,39,77,95.7,62.5,128,125,20,52,N/A,N/A,N/A,10,N/A,40,N/A,40,N/A,70,30,50,N/A,N/A,N/A,N/A,N/A,N/A
chahar_asyab,36.5,39,N/A,92,63,120,N/A,N/A,46.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chamkani,37.5,45,45,90,80,80,80,20,50,40,40,40,10,20,20,20,40,15,50,30,50,20,15,10,12.8571428571429,N/A,35
charikar,35,36,69,94,57,128,68,25,46,28,27,17,8,N/A,20,10,20,N/A,70,35,50,N/A,N/A,N/A,N/A,N/A,N/A
charkent,N/A,40,47.857142857142797,127.583333333333,70,125,50,50,47.5,N/A,45,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dand_wa_patan,40,50,50,90,80,80,80,20,50,50,50,50,10,N/A,25,20,50,N/A,30,30,36.6666666666667,30,N/A,N/A,N/A,N/A,30
dara_e_suf_e_bala,N/A,37,47.857142857142897,108,70,130,50,40,50,100,34.285714285714299,30,12,N/A,N/A,N/A,N/A,N/A,40,50,N/A,N/A,N/A,N/A,N/A,40,60
deh_sabz,36,37.5,40.5,110,105,130,100,53.5,46.5,100,N/A,N/A,7.5,N/A,20,16,50,N/A,38,30,70,35,140,N/A,N/A,50,38
dehdadi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,20,4,N/A,50,60,10,N/A,N/A,N/A,N/A,35
farah,33,33.200000000000003,85,100,70,130,60,40,50,N/A,N/A,N/A,8.5,200,20,N/A,30,15,37.5,20,53.3333333333333,N/A,8,N/A,N/A,N/A,N/A
feroz_koh,26,N/A,100,110,80,130,27,10,50,90,30,80,10,70,50,40,155,65,20,30,100,20,N/A,20,20,50,60
gardez,35,45,45,93.5,90,90,90,20,50,50,50,50,10,30,20,15,40,16.25,50,40,33.3333333333333,25,10,12.8571428571429,N/A,60,31
ghazni,34,36,57.5,97,N/A,100,67,19,40,N/A,N/A,N/A,N/A,N/A,25,25,50,90,50,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
