afg_dist,wheat_local_price_median,wheat_imported_price_median,local_rice_price_median,veg_oil_price_median,pulses_lentils_price_median,pulses_beans_price_median,pulses_split_peas_price_median,salt_price_median,sugar_price_median,tomatoes_price_median,potatoes_price_median,onions_price_median,eggs_price_median,cotton_cloth_price_median,toothbrush_adult_price_median,toothpaste_price_median,sanitary_pad_price_median,washing_detergent_price_median,soap_price_median,bleach_price_median,safe_water_price_median,jerrycan_price_median,firewood_price_median,kindling_price_median,fuel_gel_price_median,cooking_fuel_price_median
adraskan,30,35,75,120,65,105,80,8,52.5,30,22.5,20,7,NA,22.5,35,45,50,20,47.5,NA,NA,NA,NA,NA,NA
aqcha,32.5,33.8,54.4,108,44,126.5,52.5,20,50,16,18.5,16.5,9.5,92.5,25,36.5,50,50,25,70,2.75,60,13.5,13,62.5,49
aybak,31.6964285714286,36,45,101,60,130,40,40,50,27.5,25,15,8.33333333333333,50,40,50,30,60,30,60,3.25,76.5,7.85714285714286,8.57142857142857,60,50
baghlan_e_jadid,34,37,39,105,60,110,48,21,50,20,16,14,7,NA,30,30,NA,46.5,27.5,NA,13.3333333333333,NA,NA,NA,NA,NA
bagram,33,37,60,102,70,130,80,20,49,NA,NA,NA,6,NA,30,42.5,NA,55,30,60,20,NA,NA,NA,NA,NA
baharak_badakhshan,34.2857142857143,42.4285714285714,38.5714285714286,100,NA,100,NA,50,50,NA,NA,NA,NA,NA,20,50,50,40,20,70,NA,NA,NA,NA,NA,NA
bamyan,34.5,36,62.5,99,73,136.5,69,10,55,40,24,20,8.5,90,40,55,45,57.5,30,70,20,180,13,19,57.5,50
barakibarak,33.6734693877551,36.3775510204082,49.6428571428571,103.5,50,104,40,42.5,50,NA,NA,NA,7.5,90,22.5,30,60,60,20,50,2.25,NA,13,12,80,39
bazarak,34,38,63,105.5,61,140,79.5,16.5,48.5,21,22,20,7,NA,20,25,NA,50,30,57.5,13.3333333333333,NA,NA,NA,NA,NA
charikar,34,36,55,101.5,56,122.5,67.5,16.5,49.5,NA,NA,NA,6,NA,28.75,25,NA,47.5,25,50,13.3333333333333,NA,NA,NA,NA,NA
charkent,26,37,45,105,70,130,60,20,55,15,22.5,15,10,85,20,35,30,50,30,50,13.3333333333333,NA,11.4285714285714,11.4285714285714,NA,45
dara_e_suf_e_bala,30.5,36,42,110,60,130,50,15,55,NA,21,14,8,NA,20,45,37.5,45,45,NA,NA,NA,6.42857142857143,6.42857142857143,35,50
dasht_e_qala,35,42.8571428571429,37.8571428571429,98,NA,121.428571428571,42.8571428571429,10,50,NA,17.8571428571429,14.2857142857143,7.05882352941176,NA,22.5,30,NA,57.5,27.5,70.8333333333333,11.6666666666667,NA,NA,NA,NA,46
deh_sabz,34,35.5,40,97.5,90,100,90,17.5,50,NA,NA,NA,6,NA,25,42.5,NA,45,22.5,60,16,NA,NA,NA,NA,45
emam_saheb,NA,36,37,94.25,NA,118.333333333333,41.875,25,50,NA,NA,NA,5.91666666666667,NA,22.5,22.5,NA,65,22.5,60,7.04166666666667,NA,NA,NA,NA,NA
eshkmesh,34.3045112781955,36,38.5714285714286,100,45.7142857142857,110.714285714286,34.2857142857143,20,50,NA,17.1428571428571,11.4285714285714,7,NA,20,30,50,45,20,60,14,NA,NA,NA,NA,NA
farah,29.3333333333333,31,103.5,101.5625,70,112.5,45,20,52.5,20,25,12.5,7,205,30,40,47.5,40,20,80,13.3333333333333,110,12.8571428571429,NA,NA,35
