afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,safe_water_price_20L_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median,pulses_merged_price_final_cr_median
abkamari,NA,NA,NA,100,NA,55,NA,20,60,27.5,22.5,30,8,NA,17.5,22.5,NA,20,20,NA,13.3333333333333,177.777777777778,NA,NA,60,55
adraskan,25,34,72.5,105,47.5,115,75,9,50,20,15,10,7,140,30,40,40,37.5,30,42.5,13.3333333333333,188.888888888889,15,10,48.5,47.5
ahmadaba,31.6326530612245,34,47.3214285714286,95.3125,NA,81,96,10,47.5,18.5714285714286,17.8571428571429,14.2857142857143,7.5,NA,23.3333333333333,65,NA,36,85,106.666666666667,3.5,3.5,11.6071428571429,11.25,NA,80
aqcha,32,34,52.5,91,50,110,40,15.5,52.5,15,20,12,7,100,25,40,45,57.5,30,70,4.625,4.625,12,14,50,39
ashtarlay,38,35,65,100,90,125,80,20,60,12,22.5,11.5,8,100,22.5,50,40,60,40,65,10,200,20,19,65,80
aybak,29.4642857142857,32,45,90,60,100,40,13.3333333333333,50,25,20,15,8,50,30,50,30,60,20,46.6666666666667,3.5,3.5,5.71428571428571,7.14285714285714,60,40
baghlan_e_jadid,32,36,40,90,58,100,50,14,50,18,18,13,7,50,20,25,35,55,25,50,13.3333333333333,177.777777777778,10,12.5,65,50
bagram,31,33,45,92.5,67.5,100,65,18,50,12.5,17.5,10.5,7,70,20,30,20,55,30,60,14,450,16,15.5,60,62.5
baharak_badakhshan,31.4285714285714,38,44.2857142857143,90,35.7142857142857,82.8571428571429,28.5714285714286,25,55,14.2857142857143,14.2857142857143,12.8571428571429,10,NA,30,50,40,80,25,70,10,200,10,10,57.5,82.8571428571429
bamyan,31,33,55,95,60,110,80,18,58,25,20,19,7,87.5,37.5,42.5,50,50,30,60,18,720,12.5,17.5,65,60
barakibarak,29.8,35.1,75.7959183673469,92.1875,75,80,55,12.4285714285714,50,17.1428571428571,21.4285714285714,14.2857142857143,6,110,45,70,32.5,40,25,42.5,10,200,12.8571428571429,11.9642857142857,60,50
bazarak,33.5,35,50,96,60,117.5,70,15.5,56,21,21,14,7,57.5,15,20,60,62.5,25,60,17,480,14,14,60,60
chahar_asyab,32,34,40,90,90,110,70,20,50,20,20,18,6,140,17,20,NA,50,30,60,10,200,14,17,60,70
chamkani,32.2,34.2,73.5,112.5,78.5714285714286,114.285714285714,80,10,50,12.8571428571429,21.4285714285714,12.8571428571429,10,30,30,60,NA,60,60,120,2.5,2.5,12.8571428571429,12.1428571428571,65,78.5714285714286
charikar,31,33,50,90,58,110,60,12,50,NA,NA,NA,7,NA,20,30,18,55,25,55,10,200,NA,NA,60,58
charkent,31.1111111111111,35,41.4285714285714,83,60,115,32.5,20,55,30,20,17.8571428571429,10,70,15,30,30,50,25,45,13.3333333333333,177.777777777778,11.4285714285714,10,NA,35
dand_wa_patan,34,38,75,87.5,70,74.2857142857143,68.5714285714286,7.14285714285714,51.4285714285714,12.8571428571429,21.4285714285714,14.2857142857143,9.16666666666667,35,25,91.6666666666667,NA,50,47.5,120,2.75,2.75,12.8571428571429,12.8571428571429,60,68.5714285714286
dara_e_suf_e_bala,32.3,32,45,90,60,115,45,13.3333333333333,55,22.5,20,15,8,55,30,50,NA,60,27.5,40,3.75,3.75,5.71428571428571,7.14285714285714,70,45
dasht_e_qala,29,36,38,92,50,106,36,10,53,21,22,12,8,65,30,30,55,85,20,70,20,266.666666666667,6.5,12,65,36
deh_sabz,31,33,42,95,75,110,88,15,42,20,20,12,7,85,30,30,50,45,25,60,2.5,2.5,NA,NA,60,75
emam_saheb,31.4285714285714,34,37,86.5,50,95.8333333333333,50,20.4166666666667,50,20,18.5714285714286,11.4285714285714,7,100,20,50,50,50,30,60,10,200,5.71428571428571,10,58,50
farah,28.6666666666667,31,50,80.5,60,115,42.5,9.5,50,15,16,10,7,112.903225806452,20.8333333333333,47.5,70,38,20,35,10,133.333333333333,14,10,45,42.5
farkhar,32,35,42,100,NA,92,56,4,58,12,14,12,9,65,20,20,50,75,17.5,65,13.3333333333333,177.777777777778,9,11,60,56
fayzabad,30.952380952381,35.3571428571429,45,90,55,92.8571428571429,50,22.5,57.7777777777778,17.5714285714286,17.1428571428571,14.2857142857143,10,96.5,27.5,50,50,100,30,62.5,16.6666666666667,300,13.5714285714286,14.2857142857143,60,57.5
feroz_koh,30,34,60,95,72,110,40,10,50,40,20,20,7,130,20,40,40,45,30,60,10,200,17,18,60,40
gardez,32.6530612244898,34.2,86.6666666666667,94.375,60,85.7142857142857,79.1666666666667,10,48.4897959183673,10,15,10,5.5,NA,60,120,16.6666666666667,37.5,95,73.3333333333333,20,800,13.4821428571429,20,52.5,60
ghazni,31,34,53,89,51,86,43,12,50,16.5,18,14.5,6,135,25,35,NA,40,30,65,4.60526315789474,4.84764542936288,13.5,14,48.5,43
ghoryan,30,34.5,65,80,50,99,45,10,50,15,15.5,11,7,32.5,19,45,30,57.5,22.5,45,13.3333333333333,177.777777777778,20,25,50,45
gosfandi,26,36,45,85,50,120,60,8,60,15,22,20,6,240,20,30,50,40,20,60,7,140,8,9,65,50
gurbuz,34,33,35,88.5,63.5,108.5,65,9,44,19,20,13,6,30,20,50,20,32,60,150,10,200,12.9285714285714,16,55,63.5
guzara,27.5,34,65,78.5,50,107.5,35,10,47.5,15.5,15,10,7,42.5,20,72.5,30,31,32.5,50,13.3333333333333,177.777777777778,20,16.25,50,35
hazrat_e_sultan,31.4583333333333,34.5,45.5,92,60,120,50,30,57.5,30,25,20,8,120,30,50,32.5,27.5,30,80,3,3,11,12,60,50
hes_e_awal,33,35,50,92,75,117,90,20,51.5,21,23,14,7,80,30,50,60,75,30,60,14,560,16,14,60,75
hirat,28,35,62.5,80,50,100,40,10.9375,46.5,18,15,12,6,44.5,20,40,30,45,23.5,37.5,13.3333333333333,177.777777777778,19.5,18,50,40
hisa_e_awal_e_kohestan,31,33,40,85,60,100,70,18,50,17,18,12,6.5,70,20,20,32.5,50,30,50,12,440,NA,NA,55,60
hisa_e_duwum_e_kohestan,27,33,40,90,60,100,40,30,50,23,22,25,8,NA,15,30,35,55,30,50,10,200,NA,NA,61,40
injil,30,35,70,70,45,100,75,10,48,15,15,15,7,37.5,20,37.5,18,60,30,32.5,20,400,19.5,25,50,45
jabalussaraj,30.5,33,41,92,55,110,94,15,50,11.5,18,9.5,7,95,20,35,37.5,60,30,60,12,480,14,14,60,55
jaghuri,33,35,50,94,80,71,80,20,50,21,17,17,6,70,20,32.5,50,45,30,50,12,480,17,14,60,71
jalalabad,32.0833333333333,32.9,38.5416666666667,85.3,77.0408163265306,105.714285714286,73.2142857142857,10,45,19.5,21.7142857142857,11.7142857142857,6.66666666666667,121.25,20,67.5,50,50,22.5,57.5,9.66666666666667,28,10,7.85714285714286,52.5,67.1428571428571
jorm,31.4285714285714,40,45.7142857142857,88.3333333333333,NA,74.2857142857143,37.1428571428571,25,55,17.8571428571429,15.7142857142857,14.2857142857143,10,NA,17.5,40,40,95,30,100,NA,NA,9.28571428571428,11.4285714285714,65,74.2857142857143
kabul,32,33,52,96,85.7142857142857,121.428571428571,85,15,50,21.4285714285714,20,17.0714285714286,7,80,35,75,50,47.5,40,60,10,12.1883656509695,15.7142857142857,15.7142857142857,55,81.4285714285714
kaldar,30.5,32.5,43,87,NA,NA,50,12.5,50,10,NA,8,9,NA,15,20,NA,47.5,20,35,4.625,4.625,5.5,NA,65,50
kandahar,29.5,38,76.5,86.5,65.5,115,69,8,47,20,20,11,6,60,30,50,30,50,28,40,2.5,2.5,12,12,50,65
karukh,30,35,72.5,85.5,50,100,50,10,50,12.5,15,11,7,92.5,23.5,45,30,50,27.5,40,17.5,350,14,12.5,50,47.5
khoshi,31.1224489795918,33.8,82,92.5,80,100,60,20,55,15,20,15,6,NA,20,40,NA,40,25,50,10,200,12.5,11.6071428571429,60,60
khwaja_ghar,32,36,40,85,NA,108,37,6,52,21,19,12,7,60,20,20,50,80,20,60,13.3333333333333,177.777777777778,9,8,60,37
kunduz,30,35,39.2857142857143,99,70,100,58.5714285714286,20,50,20,15.7142857142857,11.4285714285714,7,48.75,27.5,55,50,50,25,60,10,200,12.8571428571429,11.7142857142857,55,58.5714285714286
kushk,27,34,72.5,85,50,120,45,10,50,20,15,13,7,62.5,25,64,40,40,30,52.5,13.3333333333333,177.777777777778,19,15,50,45
kuz_kunar,31.3333333333333,32.8,33.5714285714286,79,73.9795918367347,107.857142857143,40,9.44444444444444,46.4285714285714,17.1428571428571,20,13.5714285714286,6.83333333333333,NA,18.3333333333333,47.5,NA,40,27.5,60,10,200,7.14285714285714,9.64285714285714,57.5,40
