afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median
abkamari,"NA","NA","NA",100,"NA",80,"NA",20,60,"NA",20,20,8,"NA",15,25,"NA",20,15,"NA","NA","NA","NA",60
adraskan,27.25,35.200000000000003,72.5,120,55,112.5,57.5,9,50,40,20,25,9.5,150,30,45,52.5,44.5,27.5,40,160,12.25,12.5,50
ahmadaba,32.700000000000003,34.700000000000003,69.4722222222222,99.375,48.571428571428598,77.8571428571429,70,14,45.7142857142857,47.857142857142897,22.1428571428571,13.5714285714286,8.33333333333333,72.5,30,70,70,46.4285714285714,22.5,72.5,85,14.3303571428571,14.3303571428571,50
aqcha,33.200000000000003,35.1,50,115,65,106,40,17.5,50,45,26,18,9,87.5,21,22.5,57.5,84,22.5,67.5,30,15,15,55
ashtarlay,36.5,41,"NA",96,51.5,86.5,56.5,23,61.5,37.5,36,39,16.5,135,17,45,37.5,50,32.5,50,30,20.714285714285701,21.428571428571399,79.5
aybak,32.142857142857103,35,45,110,60,110,45,30,50,75,25,20,9,75,30,50,50,50,25,40,60,10,10.714285714285699,55
baghlan_e_jadid,35,37.142857142857103,37.857142857142897,116,55,100,50,15,50,30,25,20,8,"NA",20,30,40,60,22.5,60,50,5.71428571428571,8.5714285714285694,"NA"
bagram,32.5,35,46.5,90,67.5,105,45,20,51,70,24,18,10,"NA",25,45,"NA",55,20,55,40,17.5,17,60
baharak_badakhshan,34.285714285714299,36,42.857142857142897,105.833333333333,"NA",87.1428571428571,35.714285714285701,25,50.7142857142857,53.571428571428598,18.5714285714286,14.2857142857143,10,62.5,20,40,45,80,25,70,"NA",8.9285714285714306,10.714285714285699,57.5
bamyan,33,35,55,115,75,105,87,20,52,70,30,30,9,80,37.5,40,55,48,30,60,45,"NA","NA",63.5
barakibarak,33.571428571428598,35.4,89.8,87.5,75,95,122.5,13,51.5,50,17.1428571428571,17.1428571428571,9,95,20,45,15.4166666666667,88.3333333333333,37.5,48.3333333333333,85,13.3928571428571,12.3571428571429,56
bazarak,"NA",38,95,130,"NA",115,55,10,55,60,25,20,9.5,"NA",35,30,"NA",75,35,70,50,"NA","NA","NA"
chahar_asyab,33,34,47,106.5,60,85,80,13.5,50,42.5,30,30,9,41.25,20,30,50,55,30,60,40,15,14,55
chamkani,35,36,80,109.375,81.428571428571402,97.1428571428571,81.428571428571402,10,52.8571428571429,55.714285714285701,32.8571428571429,29.2857142857143,10,36.25,35.5,97.5,90,65,52.5,150,90,20,21.428571428571399,62.5
charikar,37,38,47,100,60,110,80,20,55,50,30,20,9,110,30,50,50,60,20,60,70,18,18,60
charkent,28.5,35,46.5,90,"NA",110,46.5,17.5,60,45,25,20,10,120,17.5,37.5,50,50,27.5,"NA","NA",10,"NA",55
dand_wa_patan,36,37,80,110.625,75.714285714285694,90,81.428571428571402,8.33333333333333,50,55.714285714285701,31.4285714285714,28.5714285714286,10,30,34,85,90,60,50,140,90,17.1428571428571,18.571428571428601,62.5
dara_e_suf_e_bala,32.142857142857103,35,46.428571428571402,105,60,110,50,30,50,67.5,25,20,10,75,30,50,50,60,30,70,70,8.5714285714285694,10,55
dasht_e_qala,31.428571428571399,38.571428571428598,37.142857142857103,120,"NA",107.142857142857,42.857142857142897,11.4285714285714,50,71.428571428571402,24.2857142857143,16.4285714285714,9,"NA",20,40,50,90,30,100,100,7.8571428571428603,9.6428571428571406,60
deh_sabz,30,33.5,41,126.5,79.5,117,85,19.5,50,80,20,17,9.5,35,20,40,42.5,50,25,45,40,20,19,55.5
