"Coût médian du PMAS, par marché évalué (XAF)",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchés,"Moustiquaires
(2 par an)","Bidon
(1 tous les six mois)","Draps
(2 par an)","Nattes 
(2 par an)","Bâche 
(1 par an)","Marmites
(2 par an)","Maïs en grains
(38 kg par mois)","Manioc cossette
(30 kg par mois)","Riz
(13 kg par mois)","Haricot 
(8 kg par mois)","Arachide 
(6 kg par mois)","Sucre 
(5 kg par mois)","Sel 
(1 kg par mois)","Viande 
(2 kg par mois)","Huile Végétale 
(5 kg par mois)","Savon 
(5 par mois)","Seau plastique
(20L - un tous les six mois)",NA,"TOTAL PMAS Mensuel 
","Produits alimentaires
",Produits non alimentaires,Produits d'hygiène
Bangassou,208.33333333333334,250,666.66666666666663,500,854.16666666666663,541.66666666666663,21714.285714285714,15000,3575,2800,6000,5000,833.33333333333337,3000,5000,1250,416.66666666666669,NA,67610.119047619053,62922.619047619046,3020.833333333333,1666.6666666666667
Bangui,208.33333333333334,250,1083.3333333333333,416.66666666666669,854.16666666666663,416.66666666666669,21714.285714285714,15000,7800,4800,4000,5000,222,4000,5000,562.5,250,NA,71577.952380952382,67536.28571428571,3229.1666666666665,812.5
Bocaranga,158.33333333333334,416.66666666666669,666.66666666666663,416.66666666666669,875,583.33333333333337,21714.285714285714,12000,7800,3200,4000,7500,666.66666666666663,6000,7500,1000,583.33333333333337,NA,75080.952380952382,70380.952380952367,3116.6666666666665,1583.3333333333335
Bria,250,250,583.33333333333337,500,854.16666666666663,541.66666666666663,21714.285714285714,18000,6500,4000,8000,6250,1333.3333333333333,4000,6250,1000,333.33333333333331,NA,80360.119047619039,76047.619047619039,2979.1666666666665,1333.3333333333333
Kagabandoro,333.33333333333331,333.33333333333331,583.33333333333337,583.33333333333337,833.33333333333337,500,10857.142857142857,6000,13000,4000,4000,5000,666.66666666666663,3000,5000,1000,416.66666666666669,NA,56107.142857142855,51523.809523809519,3166.666666666667,1416.6666666666667
Kouango,208.33333333333334,166.66666666666666,500,500,1041.6666666666667,833.33333333333337,22800,15000,7800,5600,6000,5000,700,3000,7500,1000,333.33333333333331,NA,77983.333333333328,73400,3250.0000000000005,1333.3333333333333
Sibut,208.33333333333334,250,750,500,854.16666666666663,500,21714.285714285714,6000,5200,4000,4000,6250,1333.3333333333333,3000,5000,1000,416.66666666666669,NA,60976.78571428571,56497.619047619046,3062.5,1416.6666666666667
Zémio,166.66666666666666,250,1000,666.66666666666663,833.33333333333337,833.33333333333337,3800,21426,13000,2579.1999999999998,12000,10000,1500,3000,15000,1625,666.66666666666663,NA,88346.866666666669,82305.2,3750,2291.6666666666665
Prix médian national,208.33333333333334,250,666.66666666666663,500,854.16666666666663,541.66666666666663,21714.285714285714,15000,7800,4000,5000,5625,766.66666666666663,3000,5625,1000,416.66666666666669,NA,72968.452380952382,68530.952380952367,3020.833333333333,1416.6666666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Le coût médian du PMAS est obtenu en multipliant le prix médian des articles par les quantités listées dans l'onglet suivant ""Composition du PMAS"". Il s'agit des quantités estimées comme nécessaire pour un mois, pour un ménage de 5 personnes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorsque le prix est noté en rouge cela signifie que REACH ne disposait pas de suffisament de cotations pour calculer le coût médian de l'article et l'a donc remplacé par le coût médian observé à l'échelle nationale (c'est-à-dire de toutes les localités étudiées dans le cadre du suivi des marchés) comme le prévoit la méthodologie.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
