"Coût médian du PMAS, par marché évalué (XAF)",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchés,"Moustiquaires
(2 par an)","Bidon
(1 tous les six mois)","Draps
(2 par an)","Nattes 
(2 par an)","Bâche 
(1 par an)","Marmites
(2 par an)","Maïs en grains
(38 kg par mois)","Manioc cossette
(30 kg par mois)","Riz
(13 kg par mois)","Haricot 
(8 kg par mois)","Arachide 
(6 kg par mois)","Sucre 
(5 kg par mois)","Sel 
(1 kg par mois)","Viande 
(2 kg par mois)","Huile Végétale 
(5 kg par mois)","Savon 
(5 par mois)","Seau plastique
(20L - un tous les six mois)",NA,"TOTAL PMAS Mensuel 
","Produits alimentaires
",Produits non alimentaires,Produits d'hygiène
Prix médian Bambari,166.66666666666666,166.66666666666666,416.66666666666669,500,1166.6666666666667,583.33333333333337,15200,6408,6500,3504,4504,5000,633.33333333333337,2000,5000,687.5,333.33333333333331,NA,52770.166666666672,48749.333333333336,3000.0000000000005,1020.8333333333333
Prix médian Bangassou,166.66666666666666,166.66666666666666,500,500,1166.6666666666667,583.33333333333337,15200,15000,5200,4400,4000,6250,833.33333333333337,1700,5000,1250,333.33333333333331,NA,62250,57583.333333333336,3083.3333333333335,1583.3333333333333
Prix médian Bocaranga,83.333333333333329,333.33333333333331,333.33333333333331,416.66666666666669,1250,416.66666666666669,16285.714285714286,15000,3900,4400,2708,5000,333.33333333333331,2000,6375,500,375,NA,59710.380952380954,56002.047619047626,2833.3333333333335,875
Prix médian Bossangoa,166.66666666666666,291.66666666666669,583.33333333333337,500,1083.3333333333333,833.33333333333337,5700,6000,13000,2800,5400,5500,300,2000,5000,750,333.33333333333331,NA,50241.666666666672,45700,3458.3333333333335,1083.3333333333333
Prix médian Bossembélé,166.66666666666666,166.66666666666666,500,500,791.66666666666663,333.33333333333331,10857.142857142857,24000,2600,3400,10000,6250,333.33333333333331,2000,4500,750,283.33333333333331,NA,67432.142857142855,63940.476190476191,2458.3333333333335,1033.3333333333333
Prix médian Bria,250,166.66666666666666,500,416.66666666666669,1166.6666666666667,583.33333333333337,21714.285714285714,15000,5200,4000,4000,5000,1000,4000,5000,1000,333.33333333333331,NA,69330.952380952382,64914.28571428571,3083.3333333333335,1333.3333333333333
Prix médian Kouango,166.66666666666666,166.66666666666666,500,500,1250,833.33333333333337,19000,16500,6500,5600,6000,5000,600,3000,7500,1000,416.66666666666669,NA,74533.333333333343,69700,3416.6666666666665,1416.6666666666667
Prix médian Paoua,166.66666666666666,333.33333333333331,500,500,833.33333333333337,583.33333333333337,11400,7500,5200,2400,3600,5000,300,2000,5000,1000,333.33333333333331,NA,46650.000000000007,42400,2916.666666666667,1333.3333333333333
Prix médian Sibut,166.66666666666666,166.66666666666666,750,500,1583.3333333333333,583.33333333333337,15200,15000,7150,4800,7200,6000,1000,2400,5000,1000,416.66666666666669,NA,68916.666666666701,63750,3750,1416.6666666666667
Prix médian national,166.66666666666666,166.66666666666666,500,500,1166.6666666666667,583.33333333333337,15200,15000,5200,4400,4504,5000,600,2000,5000,1000,333.33333333333331,NA,61320.666666666664,56904,3083.3333333333335,1333.3333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Le coût médian du PMAS est obtenu en multipliant le prix médian des articles par les quantités listées dans l'onglet suivant ""Composition du PMAS"". Il s'agit des quantités estimées comme nécessaire pour un mois, pour un ménage de 5 personnes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorsque le prix est noté en rouge cela signifie que REACH ne disposait pas de suffisament de cotations pour calculer le coût médian de l'article et l'a donc remplacé par le coût médian observé à l'échelle nationale (c'est-à-dire de toutes les localités étudiées dans le cadre du suivi des marchés) comme le prévoit la méthodologie.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
