admin.level,admin.pcode,admin.name,maize_price_per_unit,sorghum_price_per_unit,teff_price_per_unit,wheat_price_per_unit,barley_price_per_unit,enset_price_per_unit,rice_price_per_unit,beef_price_per_unit,mutton_price_per_unit,goat_meat_price_per_unit,vegetables_leafy_darkgreen_price_per_unit,cooking_oil_price_per_unit,bath_soap_price_per_unit,bleach_price_per_unit,water_price_per_unit,water_5km_price_per_unit,water_10km_price_per_unit,maize_price_per_unit.USD,sorghum_price_per_unit.USD,teff_price_per_unit.USD,wheat_price_per_unit.USD,barley_price_per_unit.USD,enset_price_per_unit.USD,rice_price_per_unit.USD,beef_price_per_unit.USD,mutton_price_per_unit.USD,goat_meat_price_per_unit.USD,vegetables_leafy_darkgreen_price_per_unit.USD,cooking_oil_price_per_unit.USD,bath_soap_price_per_unit.USD,bleach_price_per_unit.USD,water_price_per_unit.USD,water_5km_price_per_unit.USD,water_10km_price_per_unit.USD
Nation,ET,NA,15,15,39,17.5,19,14.75,40,275,185,250,31,75,15,6,0.2125,0.315,0.42875,0.3955174686882,0.3955174686882,1.02834541858932,0.4614370468029,0.500988793671721,0.38892551087673,1.0547132498352,7.25115359261701,4.87804878048781,6.59195781147001,0.817402768622281,1.977587343441,0.3955174686882,0.15820698747528,0.00560316413974951,0.00830586684245221,0.0113052076466711
Region,ET14,Addis Ababa,17,NA,38.5,26,NA,NA,NA,NA,NA,NA,NA,70,16,0.36,NA,NA,NA,0.44825313117996,NA,1.01516150296638,0.685563612392881,NA,NA,NA,NA,NA,NA,NA,1.8457481872116,0.42188529993408,0.00949241924851681,NA,NA,NA
Region,ET03,Amhara,11.5,NA,35.5,17.5,NA,NA,NA,NA,NA,NA,20,80,10,7,NA,NA,NA,0.30323005932762,NA,0.936058009228741,0.4614370468029,NA,NA,NA,NA,NA,NA,0.527356624917601,2.1094264996704,0.2636783124588,0.18457481872116,NA,NA,NA
Region,ET04,Oromia,10.5,NA,40,14,NA,NA,NA,230,NA,280,22.5,NA,15.625,6,NA,NA,NA,0.27686222808174,NA,1.0547132498352,0.36914963744232,NA,NA,NA,6.06460118655241,NA,7.38299274884641,0.593276203032301,NA,0.411997363216875,0.15820698747528,NA,NA,NA
Region,ET07,SNNP,9.75,NA,36.5,NA,19,14.75,NA,300,NA,422.5,NA,64,12,NA,NA,NA,NA,0.25708635464733,NA,0.962425840474621,NA,0.500988793671721,0.38892551087673,NA,7.91034937376401,NA,11.1404087013843,NA,1.68754119973632,0.31641397495056,NA,NA,NA,NA
Region,ET05,Somali,20,15,NA,30,NA,NA,40,250,185,245,35,75,20,10.5,0.2125,0.315,0.42875,0.527356624917601,0.3955174686882,NA,0.791034937376401,NA,NA,1.0547132498352,6.59195781147001,4.87804878048781,6.46011865524061,0.922874093605801,1.977587343441,0.527356624917601,0.27686222808174,0.00560316413974951,0.00830586684245221,0.0113052076466711
Zone,ET0508,Afder,20,15,NA,NA,NA,NA,40,NA,NA,NA,50,80,15,NA,NA,NA,NA,0.527356624917601,0.3955174686882,NA,NA,NA,NA,1.0547132498352,NA,NA,NA,1.318391562294,2.1094264996704,0.3955174686882,NA,NA,NA,NA
Zone,ET0412,Borena,12,NA,42,17,NA,NA,NA,230,NA,280,25,NA,15.625,6,NA,NA,NA,0.31641397495056,NA,1.10744891232696,0.44825313117996,NA,NA,NA,6.06460118655241,NA,7.38299274884641,0.659195781147001,NA,0.411997363216875,0.15820698747528,NA,NA,NA
Zone,ET0511,Daawa,NA,NA,NA,35,NA,NA,35,250,275,250,30,76,25,15,NA,NA,NA,NA,NA,NA,0.922874093605801,NA,NA,0.922874093605801,6.59195781147001,7.25115359261701,6.59195781147001,0.791034937376401,2.00395517468688,0.659195781147001,0.3955174686882,NA,NA,NA
Zone,ET0414,Guji,9.5,NA,40,10,NA,NA,NA,NA,NA,NA,NA,NA,11,8,NA,NA,NA,0.25049439683586,NA,1.0547132498352,0.2636783124588,NA,NA,NA,NA,NA,NA,NA,NA,0.29004614370468,0.21094264996704,NA,NA,NA
Zone,ET0509,Liban,22.5,17.5,NA,22.5,NA,NA,40,250,150,240,35,73.5,32.5,6,0.2125,0.315,0.42875,0.593276203032301,0.4614370468029,NA,0.593276203032301,NA,NA,1.0547132498352,6.59195781147001,3.955174686882,6.32827949901121,0.922874093605801,1.93803559657218,0.856954515491101,0.15820698747528,0.00560316413974951,0.00830586684245221,0.0113052076466711
Zone,ET1401,Region 14,17,NA,38.5,26,NA,NA,NA,NA,NA,NA,NA,70,16,0.36,NA,NA,NA,0.44825313117996,NA,1.01516150296638,0.685563612392881,NA,NA,NA,NA,NA,NA,NA,1.8457481872116,0.42188529993408,0.00949241924851681,NA,NA,NA
Zone,ET0304,South Wello,11.5,NA,35.5,17.5,NA,NA,NA,NA,NA,NA,20,80,10,7,NA,NA,NA,0.30323005932762,NA,0.936058009228741,0.4614370468029,NA,NA,NA,NA,NA,NA,0.527356624917601,2.1094264996704,0.2636783124588,0.18457481872116,NA,NA,NA
Zone,ET0415,West Guji,11,NA,40,NA,NA,NA,NA,NA,NA,NA,20,NA,21.4285714285714,NA,NA,NA,NA,0.29004614370468,NA,1.0547132498352,NA,NA,NA,NA,NA,NA,NA,0.527356624917601,NA,0.565024955268857,NA,NA,NA,NA
Zone,ET0706,Wolayita,9.75,NA,36.5,NA,19,14.75,NA,300,NA,422.5,NA,64,12,NA,NA,NA,NA,0.25708635464733,NA,0.962425840474621,NA,0.500988793671721,0.38892551087673,NA,7.91034937376401,NA,11.1404087013843,NA,1.68754119973632,0.31641397495056,NA,NA,NA,NA
Woreda,ET041513,Abaya,11,NA,40,NA,NA,NA,NA,NA,NA,NA,20,NA,21.4285714285714,NA,NA,NA,NA,0.29004614370468,NA,1.0547132498352,NA,NA,NA,NA,NA,NA,NA,0.527356624917601,NA,0.565024955268857,NA,NA,NA,NA
