start,end,q_date,region,q_region,district,q_district,municipality,q_municipality,city,q_neighbourhood,q_shop_type,trader,q_sell_salt,q_salt_available_in_shop,q_salt_quantity1,q_salt_quantity2,q_salt_price,q_salt_price_per_kilo,q_salt_brand,q_sell_sugar,q_sugar_available_in_shop,q_sugar_quantity1,q_sugar_quantity2,q_sugar_price,q_sugar_price_per_kilo,q_sugar_brand,q_sell_flour,q_flour_available_in_shop,q_flour_quantity1,q_flour_quantity2,q_flour_price,q_flour_price_per_kilo,q_flour_brand,q_sell_rice,q_rice_available_in_shop,q_rice_quantity1,q_rice_quantity2,q_rice_price,q_rice_price_per_kilo,q_rice_brand,q_sell_pasta,q_pasta_available_in_shop,q_pasta_quantity1,q_pasta_quantity2,q_pasta_price,q_pasta_price_per_500g,q_pasta_brand,q_sell_couscous,q_couscous_available_in_shop,q_couscous_quantity1,q_couscous_quantity2,q_couscous_price,q_couscous_price_per_kilo,q_couscous_brand,q_sell_tomatop,q_tomatop_available_in_shop,q_tomatop_quantity1,q_tomatop_quantity2,q_tomatop_price,q_tomatop_price_per_400g,q_tomatop_brand,q_sell_chickpeas,q_chickpeas_available_in_shop,q_chickpeas_quantity1,q_chickpeas_quantity2,q_chickpeas_price,q_chickpeas_price_per_400g,q_chickpeas_brand,q_sell_beans,q_beans_available_in_shop,q_beans_quantity1,q_beans_quantity2,q_beans_price,q_beans_price_per_400g,q_beans_brand,q_sell_cmilk,q_cmilk_available_in_shop,q_cmilk_quantity1,q_cmilk_quantity2,q_cmilk_price,q_cmilk_price_per_200ml,q_cmilk_brand,q_sell_milk,q_milk_available_in_shop,q_milk_quantity1,q_milk_quantity2,q_milk_price,q_milk_price_per_liter,q_milk_brand,q_sell_babymilk,q_babymilk_available_in_shop,q_babymilk_quantity1,q_babymilk_quantity2,q_babymilk_price,q_babymilk_price_per_400g,q_babymilk_brand,q_sell_gtea,q_gtea_available_in_shop,q_gtea_quantity1,q_gtea_quantity2,q_gtea_price,q_gtea_price_per_250g,q_gtea_brand,q_sell_btea,q_btea_available_in_shop,q_btea_quantity1,q_btea_quantity2,q_btea_price,q_btea_price_per_250g,q_btea_brand,q_sell_oil,q_oil_available_in_shop,q_oil_quantity1,q_oil_quantity2,q_oil_price,q_oil_price_per_liter,q_oil_brand,q_sell_tuna,q_tuna_available_in_shop,q_tuna_quantity1,q_tuna_quantity2,q_tuna_price,q_tuna_price_per_200g,q_tuna_brand,q_sell_eggs,q_eggs_available_in_shop,q_eggs_quantity1,q_eggs_quantity2,q_eggs_price,q_eggs_price_per_30eggs,q_eggs_brand,q_sell_chicken,q_chicken_available_in_shop,q_chicken_quantity1,q_chicken_quantity2,q_chicken_price,q_chicken_price_per_kilo,q_chicken_brand,q_sell_lamb,q_lamb_available_in_shop,q_lamb_quantity1,q_lamb_quantity2,q_lamb_price,q_lamb_price_per_kilo,q_lamb_brand,q_sell_bread,q_bread_available_in_shop,q_bread_quantity1,q_bread_quantity2,q_bread_price,q_bread_price_per_5medium_pieces,q_sell_tomatoes,q_tomatoes_available_in_shop,q_tomatoes_quantity1,q_tomatoes_quantity2,q_tomatoes_price,q_tomatoes_price_per_kilo,q_sell_onions,q_onions_available_in_shop,q_onions_quantity1,q_onions_quantity2,q_onions_price,q_onions_price_per_kilo,q_sell_pepper,q_pepper_available_in_shop,q_pepper_quantity1,q_pepper_quantity2,q_pepper_price,q_pepper_price_per_kilo,q_sell_potatoes,q_potatoes_available_in_shop,q_potatoes_quantity1,q_potatoes_quantity2,q_potatoes_price,q_potatoes_price_per_kilo,q_sell_hwsoap,q_hwsoap_available_in_shop,q_hwsoap_quantity1,q_hwsoap_quantity2,q_hwsoap_price,q_hwsoap_price_per_piece,q_hwsoap_brand,q_sell_lsoap,q_lsoap_available_in_shop,q_lsoap_quantity1,q_lsoap_quantity2,q_lsoap_price,q_lsoap_price_per_kilo,q_lsoap_brand,q_sell_shampoo,q_shampoo_available_in_shop,q_shampoo_quantity1,q_shampoo_quantity2,q_shampoo_price,q_shampoo_price_per_250ml,q_shampoo_brand,q_sell_dsoap,q_dsoap_available_in_shop,q_dsoap_quantity1,q_dsoap_quantity2,q_dsoap_price,q_dsoap_price_per_liter,q_dsoap_brand,q_sell_toothpaste,q_toothpaste_available_in_shop,q_toothpaste_quantity1,q_toothpaste_quantity2,q_toothpaste_price,q_toothpaste_price_per_tube,q_toothpaste_brand,q_sell_toothbrush,q_toothbrush_available_in_shop,q_toothbrush_quantity1,q_toothbrush_quantity2,q_toothbrush_price,q_toothbrush_price_per_brush,q_toothbrush_brand,q_sell_spads,q_spads_available_in_shop,q_spads_quantity1,q_spads_quantity2,q_spads_price,q_spads_price_per_10pads,q_spads_brand,q_sell_diapers,q_diapers_available_in_shop,q_diapers_quantity1,q_diapers_quantity2,q_diapers_price,q_diapers_price_per_30diapers,q_diapers_brand,__version__,_id,_uuid,_submission_time,_index
2017-07-08T21:47:25.804+02,2017-07-08T21:53:32.354+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Elblad,central_market,A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,14.0,14,No brand,yes,yes,yes,NA,17.0,17,Imported meat,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,4.0,4,yes,yes,yes,NA,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10516855,29be263a-bc8f-47c4-b75a-4791c596b2ea,2017-07-08T23:43:10,63
2017-07-08T22:41:50.872+02,2017-07-08T23:01:23.210+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Elbilad,central_market,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,15.0,15,No brand,yes,yes,yes,NA,18.0,18,Imported,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,yes,yes,yes,NA,2.5,2.5,yes,yes,yes,NA,4.0,4,yes,yes,yes,NA,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10516856,dc1896b1-ea58-4eb6-bc79-3f0741fffbe3,2017-07-08T23:43:11,64
2017-07-08T20:58:28.689+02,2017-07-08T21:01:32.588+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Bab tubroq,bakery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,8,1.0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10516853,fa82ae78-3405-445d-8442-794757587aaa,2017-07-08T23:43:07,61
2017-07-08T20:38:29.079+02,2017-07-09T17:04:06.288+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,El sahil,general_store,NA,yes,yes,no,0.7,1.5,2.1,Nor,yes,yes,yes,NA,2.75,2.8,Crystal,yes,yes,yes,NA,1.5,1.5,Alsafwa,yes,yes,yes,NA,3.5,3.5,Wassin,yes,yes,yes,NA,1.5,1.5,Napoli,yes,yes,yes,NA,3.5,3.5,Diari,yes,yes,yes,NA,1.5,1.5,Marwa,yes,yes,yes,NA,3.0,3,California,yes,yes,yes,NA,3.0,3,California,yes,yes,no,384.0,4.0,2.1,Alzahrat,yes,yes,yes,NA,4.5,4.5,Milkcow,yes,yes,yes,NA,15.0,15,Swislac,yes,yes,yes,NA,6.0,6,Alnaji,yes,yes,yes,NA,8.0,8,Alzhra,yes,yes,yes,NA,4.0,4,Alraqi,yes,yes,no,140.0,4.0,5.7,Alsiad,yes,yes,yes,NA,8.5,8.5,No brand,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,no,5.0,4.5,0.9,Olive,yes,yes,no,0.12,0.75,6.3,Wash,yes,yes,no,600.0,8.5,3.5,Speed and strong,yes,yes,yes,NA,3.0,3,Rien,yes,yes,yes,NA,6.5,6.5,Signal,yes,yes,yes,NA,2.5,2.5,Classic,yes,yes,yes,NA,2.0,2,Fam,yes,yes,no,40,22.0,16.5,Peaudos,vYh2dAEbuPAT4DaeKbjRK4,10534573,aba3df4d-140e-4fe3-be22-f471efcd0d11,2017-07-10T00:15:32,66
2017-07-08T20:34:53.164+02,2017-07-09T01:42:33.774+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Elbilad,bakery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10516851,ac362d08-9e56-48f6-a1ff-2beb66e61a46,2017-07-08T23:43:04,59
2017-07-08T17:29:43.679+02,2017-07-09T16:30:37.937+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Elbilad,general_store,NA,yes,yes,no,0.25,0.25,1,No brand,yes,yes,yes,NA,2.5,2.5,Alasd,yes,yes,yes,NA,1.25,1.3,Alsafwa,yes,yes,yes,NA,3.5,3.5,Wassin,yes,yes,yes,NA,1.25,1.3,Napoli,yes,yes,yes,NA,3.5,3.5,Diari,yes,yes,yes,NA,1.5,1.5,Marwa,yes,yes,yes,NA,2.5,2.5,Alhadiqa,yes,yes,yes,NA,3.0,3,Alhadiqa,yes,yes,no,384.0,4.0,2.1,Judi,yes,yes,yes,NA,4.0,4,Judi,yes,yes,yes,NA,16.0,16,Swislac,yes,yes,yes,NA,6.0,6,Alnaji,yes,yes,yes,NA,7.5,7.5,Alzhra,yes,yes,yes,NA,3.5,3.5,Alsafwa,yes,yes,no,140.0,3.5,5,Bity,yes,yes,yes,NA,7.5,7.5,No brand,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,no,5.0,4.5,0.9,Olive,yes,yes,no,0.5,6.5,13,Oxi,yes,yes,no,600.0,8.0,3.3,Speed and strong,yes,yes,yes,NA,2.75,2.8,Rein,yes,yes,yes,NA,5.5,5.5,Signal,yes,yes,yes,NA,2.5,2.5,Good morning,yes,yes,yes,NA,1.5,1.5,Fam,yes,yes,no,40,21.0,15.8,Peaudos,vYh2dAEbuPAT4DaeKbjRK4,10534572,9091535c-b56e-4353-9b8d-217b4ca44838,2017-07-10T00:15:31,65
2017-07-08T20:45:33.207+02,2017-07-08T20:48:14.494+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Elsahil,bakery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,8,1.0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10516852,b5d3675c-6986-48fc-8856-4bb074d4a4cb,2017-07-08T23:43:05,60
2017-07-08T21:07:14.319+02,2017-07-08T21:11:11.339+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Sheiha,bakery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10516854,a26348ef-f253-4a87-a040-20b1fdea1601,2017-07-08T23:43:08,62
2017-07-08T21:14:04.134+02,2017-07-09T17:43:09.615+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Sheiha,general_store,NA,yes,yes,no,0.25,0.5,2,No brand,yes,yes,yes,NA,3.0,3,Alasd,yes,yes,yes,NA,1.5,1.5,Warda,yes,yes,yes,NA,3.5,3.5,Abo bent,yes,yes,yes,NA,1.5,1.5,Napoli,yes,yes,yes,NA,3.5,3.5,Diari,yes,yes,yes,NA,2.0,2,Masod,yes,yes,yes,NA,2.5,2.5,Alhdiqa,yes,yes,yes,NA,3.0,3,Alhadiqa,yes,yes,no,384.0,5.0,2.6,Mana,yes,yes,yes,NA,4.0,4,Judi,yes,yes,yes,NA,19.0,19,My boy,yes,yes,yes,NA,6.0,6,Alnaji,yes,yes,yes,NA,7.5,7.5,Alzahra,yes,yes,yes,NA,4.0,4,Alraqi,yes,yes,no,180.0,4.5,5,Bity,yes,yes,yes,NA,9.0,9,No brand,yes,yes,yes,NA,15.0,15,No brand,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,4.5,4.5,yes,yes,yes,NA,3.5,3.5,yes,yes,yes,NA,1.5,1.5,Life boy,yes,yes,no,0.12,1.0,8.3,Ritaj,yes,yes,no,600.0,8.0,3.3,Hope,yes,yes,yes,NA,2.5,2.5,Alnassim,yes,yes,yes,NA,6.0,6,Miswak,yes,yes,yes,NA,2.0,2,Miswak,yes,yes,yes,NA,3.5,3.5,Lilas,yes,yes,no,40,20.0,15,Peaudos,vYh2dAEbuPAT4DaeKbjRK4,10534574,8ffca8da-58b7-4670-808a-ac8fafebf61e,2017-07-10T00:15:34,67
2017-07-08T21:18:48.951+02,2017-07-09T18:17:07.145+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Sheiha,general_store,NA,yes,yes,no,0.2,0.25,1.3,Pono,yes,yes,yes,NA,2.5,2.5,Alasd,yes,yes,yes,NA,1.5,1.5,Warda,yes,yes,yes,NA,3.5,3.5,Altaj,yes,yes,yes,NA,1.25,1.3,Napoli,yes,yes,yes,NA,3.5,3.5,Diari,yes,yes,yes,NA,1.5,1.5,Marwa,yes,yes,yes,NA,2.5,2.5,Alhadiqa,yes,yes,yes,NA,2.5,2.5,Alhadiqa,yes,yes,no,384.0,4.0,2.1,Mana,yes,yes,yes,NA,4.0,4,Judi,yes,yes,yes,NA,12.0,12,France lait,yes,yes,yes,NA,6.0,6,Algaml,yes,yes,yes,NA,7.5,7.5,Alzahra,yes,yes,yes,NA,3.5,3.5,Marwa,yes,yes,no,140.0,3.5,5,Alshira,yes,yes,yes,NA,8.0,8,No brand,yes,yes,no,1.4,14.0,10,Sadia,yes,yes,yes,NA,24.0,24,No brand,yes,yes,no,6,1.0,0.8,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,4.0,4,yes,yes,yes,NA,3.5,3.5,yes,yes,yes,NA,1.0,1,Fax,yes,yes,no,0.5,6.0,12,Oxi,yes,yes,no,600.0,9.0,3.8,Speed and strong,yes,yes,yes,NA,3.0,3,Rein,yes,yes,yes,NA,6.0,6,Signal,yes,yes,yes,NA,2.5,2.5,Classic,yes,yes,yes,NA,3.5,3.5,Best lady,yes,yes,no,30,16.0,16,Gozmo,vYh2dAEbuPAT4DaeKbjRK4,10534575,60a1c223-1135-4305-bf3a-52204f596dbe,2017-07-10T00:16:28,68
