governorate_ID,district_ID,governorate_name,district_name,price_soap_normalised,price_laundry_powder_normalised,price_sanitary_napkins_normalised,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,wash_smeb_total
YE11,YE1102,Ibb,Yarim,150,70,450,2000,1575,1400,900,6300,10175
YE11,YE1116,Ibb,Dhi As Sufal,150,90.909090910000003,350,3000,1575,1818.1818182,700,9450,13543.1818182
YE11,YE1118,Ibb,Al Mashannah,150,70,370,2500,1575,1400,740,7875,11590
YE11,YE1119,Ibb,Al Dhihar,130,72.727272729999996,350,2500,1365,1454.5454546,700,7875,11394.5454546
YE12,YE1204,Abyan,Lawdar,200,150,700,3000,2100,3000,1400,9450,15950
YE12,YE1211,Abyan,Khanfir,145,80,525,"NA",1522.5,1600,1050,9450,13622.5
YE13,YE1301,Amanat Al Asimah,Old City,130,90,500,"NA",1365,1800,1000,3917.025,8082.025
YE13,YE1302,Amanat Al Asimah,Shuaub,120,100,575,1333,1260,2000,1150,4198.95,8608.95
YE13,YE1303,Amanat Al Asimah,Azzal,100,100,500,1333,1050,2000,1000,4198.95,8248.95
YE13,YE1304,Amanat Al Asimah,Assafiyah,120,90,500,900,1260,1800,1000,2835,6895
YE13,YE1305,Amanat Al Asimah,As Sabain,120,120,470,1154,1260,2400,940,3635.1,8235.1
YE13,YE1306,Amanat Al Asimah,Al Wahdah,210,155,750,450,2205,3100,1500,1417.5,8222.5
YE13,YE1307,Amanat Al Asimah,At Tahrir,130,130,650,2000,1365,2600,1300,6300,11565
YE13,YE1309,Amanat Al Asimah,Aththaorah,150,100,550,1800,1575,2000,1100,5670,10345
YE13,YE1310,Amanat Al Asimah,Bani Al Harith,150,110,500,1050,1575,2200,1000,3307.5,8082.5
YE14,YE1413,Al Bayda,Rada,145,150,545,2000,1522.5,3000,1090,6300,11912.5
YE15,YE1506,Taizz,Dhubab,140,100,600,2500,1470,2000,1200,7875,12545
YE15,YE1507,Taizz,Mawza,140,100,600,2500,1470,2000,1200,7875,12545
YE15,YE1509,Taizz,Mashraa Wa Hadnan,111.1111111,81.818181820000007,500,966.5,1166.66666655,1636.3636364,1000,3044.475,6847.50530295
YE15,YE1513,Taizz,As Silw,150,90.909090910000003,500,2153,1575,1818.1818182,1000,6781.95,11175.1318182
YE15,YE1514,Taizz,Ash Shamayatayn,140,100,575,4000,1470,2000,1150,12600,17220
YE15,YE1515,Taizz,Al Waziiyah,93,90.909090910000003,550,3000,976.5,1818.1818182,1100,9450,13344.6818182
YE15,YE1519,Taizz,Salh,125,95,550,2500,1312.5,1900,1100,7875,12187.5
YE15,YE1521,Taizz,Al Maafer,120,90.909090910000003,500,2000,1260,1818.1818182,1000,6300,10378.1818182
YE15,YE1522,Taizz,Al Mawasit,150,109.0909091,550,2000,1575,2181.818182,1100,6300,11156.818182
YE16,YE1610,Al Jawf,Bart Al Anan,105,105,800,1600,1102.5,2100,1600,5040,9842.5
YE17,YE1704,Hajjah,Abs,180,90,400,1500,1890,1800,800,4725,9215
YE17,YE1712,Hajjah,Aslem,180,90,400,1200,1890,1800,800,3780,8270
YE17,YE1713,Hajjah,Qafl Shamer,150,90,700,2700,1575,1800,1400,8505,13280
YE17,YE1715,Hajjah,Al Mahabishah,100,100,700,2900,1050,2000,1400,9135,13585
YE17,YE1722,Hajjah,Kuaydinah,125,109.0909091,575,2625,1312.5,2181.818182,1150,8268.75,12913.068182
YE17,YE1724,Hajjah,Bani Qais,120,181.81818179999999,"NA",1500,1260,3636.363636,1275,4725,10896.363636
YE17,YE1726,Hajjah,Najrah,130,181.81818179999999,700,1500,1365,3636.363636,1400,4725,11126.363636
YE18,YE1801,Al Hudaydah,Az Zuhrah,180,90,400,1500,1890,1800,800,4725,9215
YE18,YE1802,Al Hudaydah,Alluheyah,130,120,500,2000,1365,2400,1000,6300,11065
YE18,YE1806,Al Hudaydah,Al Qanawis,150,140,500,2000,1575,2800,1000,6300,11675
YE18,YE1807,Al Hudaydah,Az Zaydiyah,130,100,400,1500,1365,2000,800,4725,8890
YE18,YE1810,Al Hudaydah,Bajil,130,122.72727275,500,500,1365,2454.545455,1000,1575,6394.545455
YE18,YE1820,Al Hudaydah,Al Khawkhah,120,120,406.25,2000,1260,2400,812.5,6300,10772.5
YE18,YE1824,Al Hudaydah,Zabid,120,109.0909091,350,6000,1260,2181.818182,700,18900,23041.818182
YE20,YE2007,Dhamar,Wusab As Safil,110,130,650,4500,1155,2600,1300,14175,19230
YE20,YE2008,Dhamar,Dhamar City,120,100,490,1500,1260,2000,980,4725,8965
YE22,YE2203,Sa'ada,Monabbih,170,200,600,3000,1785,4000,1200,9450,16435
YE22,YE2204,Sa'ada,Ghamr,150,140,700,2000,1575,2800,1400,6300,12075
YE22,YE2205,Sa'ada,Razih,150,150,650,1200,1575,3000,1300,3780,9655
YE22,YE2209,Sa'ada,Saqayn,160,120,565,1350,1680,2400,1130,4252.5,9462.5
YE22,YE2211,Sa'ada,Sahar,95,90,"NA",2000,997.5,1800,1250,6300,10347.5
YE22,YE2215,Sa'ada,Saadah,100,"NA","NA",2000,1050,2800,1250,6300,11400
YE23,YE2301,Sana'a,Hamdan,145,100,500,900,1522.5,2000,1000,2835,7357.5
YE23,YE2302,Sana'a,Arhab,145,100,500,1500,1522.5,2000,1000,4725,9247.5
YE23,YE2303,Sana'a,Nihm,140,120,550,1600,1470,2400,1100,5040,10010
YE23,YE2304,Sana'a,Bani Hushaysh,145,105,510,1125,1522.5,2100,1020,3543.75,8186.25
YE23,YE2305,Sana'a,Sanhan,130,120,550,1275,1365,2400,1100,4016.25,8881.25
YE23,YE2307,Sana'a,Bani Matar,120,125,550,1300,1260,2500,1100,4095,8955
YE23,YE2312,Sana'a,Khwlan,150,100,570,2000,1575,2000,1140,6300,11015
YE23,YE2316,Sana'a,Jihanah,180,130,470,1166,1890,2600,940,3672.9,9102.9
YE24,YE2404,Aden,Al Buraiqeh,150,136.36363639999999,550,1000,1575,2727.272728,1100,3150,8552.272728
YE24,YE2408,Aden,Khur Maksar,130,136.36363639999999,550,5000,1365,2727.272728,1100,15750,20942.272728
YE25,YE2508,Lahj,Al Milah,120,63.636363639999999,500,1500,1260,1272.7272728,1000,4725,8257.7272728
YE25,YE2515,Lahj,Tuban,130,102.27272725,650,200,1365,2045.454545,1300,630,5340.454545
YE29,YE2915,Amran,Amran,120,90.909090910000003,525,1000,1260,1818.1818182,1050,3150,7278.1818182
YE29,YE2918,Amran,Iyal Surayh,120,90.909090910000003,575,1200,1260,1818.1818182,1150,3780,8008.1818182
YE30,YE3003,Al Dhale'e,Qaatabah,150,90.909090910000003,500,2000,1575,1818.1818182,1000,6300,10693.1818182
YE30,YE3006,Al Dhale'e,Ad Dhalee,155,95.454545455000002,500,2500,1627.5,1909.0909091,1000,7875,12411.5909091
YE32,YE3201,Socotra,Hidaybu,145,115,600,1200,1522.5,2300,1200,3780,8802.5
