governorate_ID,governorate_name,district_ID,district_name,price_soap_normalised,price_laundry_powder_normalised,price_sanitary_napkins_normalised,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,wash_smeb_total
YE11,Ibb,YE1102,Yarim,130,120,550,1500,1365,2400,1100,4725,9590
YE11,Ibb,YE1116,Dhi As Sufal,130,120,500,4000,1365,2400,1000,12600,17365
YE11,Ibb,YE1118,Al Mashannah,140,120,600,3000,1470,2400,1200,9450,14520
YE11,Ibb,YE1119,Al Dhihar,140,120,550,3000,1470,2400,1100,9450,14420
YE13,Amanat Al Asimah,YE1301,Old City,100,150,500,2000,1050,3000,1000,6300,11350
YE13,Amanat Al Asimah,YE1303,Az'zal,120,90,500,1975,1260,1800,1000,6221.25,10281.25
YE13,Amanat Al Asimah,YE1304,Assafi'yah,120,100,600,1333,1260,2000,1200,4198.95,8658.9500000000007
YE13,Amanat Al Asimah,YE1306,Al Wahdah,89.6,100,500,1500,940.8,2000,1000,4725,8665.7999999999993
YE13,Amanat Al Asimah,YE1308,Ma'ain,108,85,475,1800,1134,1700,950,5670,9454
YE13,Amanat Al Asimah,YE1309,Ath'thaorah,130,100,450,1500,1365,2000,900,4725,8990
YE13,Amanat Al Asimah,YE1310,Bani Al Harith,145,100,490,1150,1522.5,2000,980,3622.5,8125
YE15,Taizz,YE1506,Al Mukha,128.70370370000001,110,158.33333329999999,"NA",1351.38888885,2200,316.66666659999999,8977.5,12845.555555450001
YE15,Taizz,YE1509,Jabal Habashy,100,91.875,527.08333330000005,1000,1050,1837.5,1054.1666666000001,3150,7091.6666666000001
YE15,Taizz,YE1513,Dimnat Khadir,150,95.45454546,500,3000,1575,1909.0909092,1000,9450,13934.0909092
YE15,Taizz,YE1514,Ash Shamayatayn,120,125,585,"NA",1260,2500,1170,8977.5,13907.5
YE15,Taizz,YE1515,Al Wazi'iyah,100,72.72727273,500,3500,1050,1454.5454546,1000,11025,14529.5454546
YE15,Taizz,YE1518,Al Qahirah,150,120,565,3900,1575,2400,1130,12285,17390
