district_ID,country_name,country_ID,governorate_ID,governorate_name,district_name,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,smeb_total
YE1704,Yemen,YE,YE17,Hajjah,Abs,375,400,130,170,200,150,750,3250,2100,3000,1500,10237.5,16837.5
YE1505,Yemen,YE,YE15,Taizz,Al  Mukha,385,400,200,"NA",150,120,500,"NA",1575,2400,1000,7087.5,12062.5
YE2404,Yemen,YE,YE24,Aden,Al Buraiqeh,350,"NA",150,95,150,75,500,"NA",1575,1500,1000,15750,19825
YE1820,Yemen,YE,YE18,Al Hudaydah,Al Khawkhah,385,420,200,"NA",130,120,475,"NA",1365,2400,950,11025,15740
YE1521,Yemen,YE,YE15,Taizz,Al Ma'afer,415,422.5,150,125,150,100,500,1000,1575,2000,1000,3150,7725
YE1715,Yemen,YE,YE17,Hajjah,Al Mahabishah,650,650,120,150,150,100,500,5000,1575,2000,1000,15750,20325
YE1107,Yemen,YE,YE11,Ibb,Al Makhadir,"NA","NA",125,200,125,125,500,1875,1312.5,2500,1000,5906.25,10718.75
YE1522,Yemen,YE,YE15,Taizz,Al Mawasit,400,425,150,125,150,100,500,1500,1575,2000,1000,4725,9300
YE2508,Yemen,YE,YE25,Lahj,Al Milah,350,380,150,"NA",150,100,600,1500,1575,2000,1200,4725,9500
YE1806,Yemen,YE,YE18,Al Hudaydah,Al Qanawis,850,800,120,80,120,100,600,3500,1260,2000,1200,11025,15485
YE1802,Yemen,YE,YE18,Al Hudaydah,Alluheyah,900,900,120,100,150,100,550,3500,1575,2000,1100,11025,15700
YE1514,Yemen,YE,YE15,Taizz,Ash Shamayatayn,400,420,100,100,120,80,500,4000,1260,1600,1000,12600,16460
YE1307,Yemen,YE,YE13,Amanat Al Asimah,At Tahrir,365,"NA",120,120,150,109,490,1650,1575,2180,980,5197.5,9932.5
YE1520,Yemen,YE,YE15,Taizz,At Ta'iziyah,365,"NA",180,100,200,160,650,3000,2100,3200,1300,9450,16050
YE2113,Yemen,YE,YE21,Shabwah,Ataq,375,390,100,150,120,120,500,1333,1260,2400,1000,4198.95,8858.95
YE1309,Yemen,YE,YE13,Amanat Al Asimah,Ath'thaorah,"NA","NA",100,300,150,110,500,2400,1575,2200,1000,7560,12335
YE2307,Yemen,YE,YE23,Sana'a,Bani Matar,365,400,100,120,120,180,600,1500,1260,3600,1200,4725,10785
YE1724,Yemen,YE,YE17,Hajjah,Bani Qa'is,"NA","NA",150,"NA",150,143,550,2000,1575,2860,1100,6300,11835
YE1512,Yemen,YE,YE15,Taizz,Dimnat Khadir,365,"NA",200,100,180,150,667,3000,1890,3000,1334,9450,15674
YE2204,Yemen,YE,YE22,Sa'ada,Ghamr,400,440,140,"NA",150,220,700,1000,1575,4400,1400,3150,10525
YE2114,Yemen,YE,YE21,Shabwah,Habban,330,380,100,200,150,90,500,4200,1575,1800,1000,13230,17605
YE1728,Yemen,YE,YE17,Hajjah,Hajjah City,700,1100,100,200,130,120,500,20000,1365,2400,1000,63000,67765
YE1508,Yemen,YE,YE15,Taizz,Jabal Habashy,400,425,142.5,100,100,80,428,1100,1050,1600,856,3465,6971
YE2408,Yemen,YE,YE24,Aden,Khur Maksar,350,"NA",150,75,150,75,500,5000,1575,1500,1000,15750,19825
YE1722,Yemen,YE,YE17,Hajjah,Ku'aydinah,365,400,135,125,150,80,500,2000,1575,1600,1000,6300,10475
YE1718,Yemen,YE,YE17,Hajjah,Kuhlan Affar,"NA","NA",120,200,150,130,550,"NA",1575,2600,1100,6300,11575
YE1308,Yemen,YE,YE13,Amanat Al Asimah,Ma'ain,365,"NA",120,120,150,109,490,1500,1575,2180,980,4725,9460
YE1726,Yemen,YE,YE17,Hajjah,Najrah,675,750,150,80,150,120,500,1250,1575,2400,1000,3937.5,8912.5
YE1713,Yemen,YE,YE17,Hajjah,Qafl Shamer,600,400,120,150,150,100,500,2000,1575,2000,1000,6300,10875
YE1413,Yemen,YE,YE14,Al Bayda,Rada',370,400,100,120,100,150,600,1450,1050,3000,1200,4567.5,9817.5
YE2205,Yemen,YE,YE22,Sa'ada,Razih,400,440,150,"NA",150,220,700,950,1575,4400,1400,2992.5,10367.5
YE2305,Yemen,YE,YE23,Sana'a,Sanhan,365,400,100,120,100,150,600,1600,1050,3000,1200,5040,10290
YE2209,Yemen,YE,YE22,Sa'ada,Saqayn,365,400,100,120,100,150,600,1450,1050,3000,1200,4567.5,9817.5
YE2515,Yemen,YE,YE25,Lahj,Tuban,350,380,100,125,150,100,500,2000,1575,2000,1000,6300,10875
YE1824,Yemen,YE,YE18,Al Hudaydah,Zabid,"NA","NA",170,"NA",145,145,400,"NA",1522.5,2900,800,11025,16247.5
